,nmi,rand,sj,fs,method
205,0.9864526808007452,0.9956676676676677,54.0,0.9667072141826816,Louvain
206,1.0,1.0,0.0,1.0,Directed Louvain
207,0.9986138141107862,0.9998418418418418,2.0,0.9980499999690755,Leiden
208,1.0,1.0,0.0,1.0,Infomap
209,1.0,1.0,0.0,1.0,Oslom
210,0.9934763854348051,0.9979479479479479,25.0,0.9842247018083878,Louvain
211,0.9928274261943836,0.9975335335335336,28.0,0.9825910015826362,Directed Louvain
212,0.9914310558244824,0.9973753753753754,30.0,0.9806406032013925,Leiden
213,1.0,1.0,0.0,1.0,Infomap
214,1.0,1.0,0.0,1.0,Oslom
215,1.0,1.0,0.0,1.0,Louvain
216,1.0,1.0,0.0,1.0,Directed Louvain
217,0.989740661807637,0.9970310310310311,35.0,0.9777623766671559,Leiden
218,1.0,1.0,0.0,1.0,Infomap
219,1.0,1.0,0.0,1.0,Oslom
220,0.9856986379801258,0.9951751751751752,60.0,0.9646790377304675,Louvain
221,0.9921771516813056,0.9971271271271271,35.0,0.9807550459330785,Directed Louvain
222,0.9922267463048736,0.9978898898898898,27.0,0.982579653027463,Leiden
223,1.0,1.0,0.0,1.0,Infomap
224,1.0,1.0,0.0,1.0,Oslom
225,0.9928802700949079,0.9976216216216216,33.0,0.9824809768182622,Louvain
226,0.9936219882904546,0.998048048048048,25.0,0.9845299484331614,Directed Louvain
227,0.9832986556278475,0.9943623623623623,65.0,0.9602661775944301,Leiden
228,1.0,1.0,0.0,1.0,Infomap
229,1.0,1.0,0.0,1.0,Oslom
230,1.0,1.0,0.0,1.0,Louvain
231,1.0,1.0,0.0,1.0,Directed Louvain
232,0.9972907328776365,0.9997117117117116,4.0,0.9961128513956475,Leiden
233,1.0,1.0,0.0,1.0,Infomap
234,1.0,1.0,0.0,1.0,Oslom
235,1.0,1.0,0.0,1.0,Louvain
236,1.0,1.0,0.0,1.0,Directed Louvain
237,0.9928324470620894,0.9982742742742742,29.0,0.9838693494981038,Leiden
238,1.0,1.0,0.0,1.0,Infomap
239,1.0,1.0,0.0,1.0,Oslom
240,0.9929215964015456,0.9976196196196196,29.0,0.9827207859208557,Louvain
241,1.0,1.0,0.0,1.0,Directed Louvain
242,0.9841136411888207,0.9956616616616617,58.0,0.9639125759118143,Leiden
243,1.0,1.0,0.0,1.0,Infomap
244,1.0,1.0,0.0,1.0,Oslom
245,1.0,1.0,0.0,1.0,Louvain
246,0.985110850605046,0.9948028028028028,62.0,0.9632285219731243,Directed Louvain
247,0.9897782070219238,0.9977537537537536,29.0,0.9794785924881453,Leiden
248,1.0,1.0,0.0,1.0,Infomap
249,1.0,1.0,0.0,1.0,Oslom
250,1.0,1.0,0.0,1.0,Louvain
251,1.0,1.0,0.0,1.0,Directed Louvain
252,0.9795724488697857,0.9948348348348348,77.0,0.9523378366893503,Leiden
253,1.0,1.0,0.0,1.0,Infomap
254,1.0,1.0,0.0,1.0,Oslom
255,0.9867046561083846,0.9958238238238238,54.0,0.9673765092052434,Louvain
256,1.0,1.0,0.0,1.0,Directed Louvain
257,0.9851829783374381,0.9955915915915915,55.0,0.9651269222692327,Leiden
258,1.0,1.0,0.0,1.0,Infomap
259,1.0,1.0,0.0,1.0,Oslom
260,0.9929708772718455,0.9976216216216216,27.0,0.9829828682747952,Louvain
261,0.9930554019069564,0.9977017017017017,28.0,0.9830808229676354,Directed Louvain
262,0.9792874253937407,0.9939759759759759,75.0,0.9505399960005019,Leiden
263,1.0,1.0,0.0,1.0,Infomap
264,1.0,1.0,0.0,1.0,Oslom
